Year,Therapeutic Name,Eventual Brand Name,NDC Code,"Active Pharmaceutical Ingredient","Gene Delivery System",Targeting Strategy,Delivery Method,NCT ID,Study URL,Study Type,Phase,Trial Status,clinical trial purpose,Therapeutic Purpose,Disease Studied by Clinical Trial,DIsease Targeted by Intervention,Disease Type ,Reason for Termination,Clinical Trial Start Date,Clinical Trial End Date,"Clinical Trial Duration
(Months)",Clinical Trial Size,Enrolled type,Row in the US Polulation sheet that corresponds to the year,Column in the US Population sheet that correspoinds to the age group,Address in the US Population sheet that corresponds to the year and age group,Sex,Age,,Target Population Size,Estimated Disease Prevalence,Estimated Population Affected by Disease,Target Population Indicator,Uptake Propensity,Estimated Potential Impact,Population Multiplier using Age/Sex,Population Impacted,Entity,Entity Type,Entity Employee Count,Entity Size,Entity Research Status,Sponsor,Sponsor Type,Sponsor Class,Collaborators,Manufacturer,Treatment Cost
2021,comirnaty,Comirnaty,0069-2432,messenger RNA,LNP,Untargeted,in-vivo,NCT04775069,https://clinicaltrials.gov/study/NCT04775069,Interventional,Phase 4,Completed,PREVENTION,PREVENTION,Chronic Liver Disease,COVID-19,Infectious,N/A,5/21/21,9/30/23,28.7,232,ACTUAL,10,7,'1a.1. US Population'!$G$10,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,67.69%,"168,658,393",0.773329128,"227,544,916",Humanity & Health Medical Group Limited,OTHER,non-industry,Non-Industry,FALSE,Humanity & Health Medical Group Limited,SPONSOR,OTHER,N/A,BioNTech SE,$136.75 
2022,comirnaty,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05168709,https://clinicaltrials.gov/study/NCT05168709,Interventional,Phase 4,Completed,BASIC_SCIENCE,PREVENTION,"COVID-19, Vaccine Reaction, Immunization; Infection",COVID-19,Infectious,N/A,1/20/22,9/29/22,8.4,51,ACTUAL,9,3,'1a.1. US Population'!$C$9,ALL,CHILD,COVID-19,"73,029,941",1.38%,"1,007,191",Common,41.95%,"30,636,060",0.226670872,"22,345,520",Murdoch Childrens Research Institute,OTHER,non-industry,Non-Industry,FALSE,Murdoch Childrens Research Institute,SPONSOR,OTHER,N/A,BioNTech SE,$136.75 
2022,comirnaty,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05343871,https://clinicaltrials.gov/study/NCT05343871,Interventional,Phase 4,Completed,PREVENTION,PREVENTION,COVID-19,COVID-19,Infectious,N/A,7/5/22,7/28/23,12.9,2354,ACTUAL,9,4,'1a.1. US Population'!$D$9,ALL,ADULT,COVID-19,"201,452,958",2.61%,"5,258,259",Common,83.65%,"168,513,018",0.62527118,"61,640,075",Albert B. Sabin Vaccine Institute,OTHER,non-industry,Non-Industry,FALSE,Albert B. Sabin Vaccine Institute,SPONSOR,OTHER,"""Aga Khan University"", ""Oswaldo Cruz Foundation"", ""Stanford University""",BioNTech SE,$136.75 
2022,comirnaty,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05212610,https://clinicaltrials.gov/study/NCT05212610,Interventional,Phase 4,Recruiting,TREATMENT,PREVENTION,"COVID-19, Corona Virus Infection",COVID-19,Infectious,N/A,3/21/22,12/30/24,33.8,200,ESTIMATED,9,7,'1a.1. US Population'!$G$9,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,83.65%,"208,415,212",0.773329128,"76,235,826",University of Michigan,OTHER,non-industry,Non-Industry,FALSE,University of Michigan,PRINCIPAL_INVESTIGATOR,OTHER,"""The Wallace Foundation""",BioNTech SE,$136.75 
2021,comirnaty,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05075538,https://clinicaltrials.gov/study/NCT05075538,Interventional,Phase 4,Terminated,PREVENTION,PREVENTION,Cancer,COVID-19,Infectious,The population as defined by the inclusion/exclusion criteria and the study logistics were leading to a poor recruitment over the past years,12/1/21,1/8/24,25.6,152,ACTUAL,10,7,'1a.1. US Population'!$G$10,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,67.69%,"168,658,393",0.773329128,"227,544,916",Jules Bordet Institute,OTHER,non-industry,Non-Industry,FALSE,Jules Bordet Institute,SPONSOR,OTHER,"""Roche Pharma AG""",BioNTech SE,$136.75 
2021,comirnaty,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05077254,https://clinicaltrials.gov/study/NCT05077254,Interventional,Phase 2,Active Not Recruiting,TREATMENT,PREVENTION,"Kidney Transplant Recipients, Liver Transplant Recipients",COVID-19,Infectious,N/A,12/6/21,2/28/24,27.1,400,ESTIMATED,10,7,'1a.1. US Population'!$G$10,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,67.69%,"168,658,393",0.773329128,"227,544,916",National Institute of Allergy and Infectious Diseases (NIAID),NIH,non-industry,Non-Industry,TRUE,National Institute of Allergy and Infectious Diseases (NIAID),SPONSOR,NIH,"""PPD DEVELOPMENT, LP"", ""Johns Hopkins University""",BioNTech SE,$136.75 
2021,comirnaty,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT04889209,https://clinicaltrials.gov/study/NCT04889209,Interventional,Phase 2,Completed,PREVENTION,PREVENTION,COVID-19,COVID-19,Infectious,N/A,5/28/21,6/16/23,25,867,ACTUAL,10,7,'1a.1. US Population'!$G$10,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,67.69%,"168,658,393",0.773329128,"227,544,916",National Institute of Allergy and Infectious Diseases (NIAID),NIH,non-industry,Non-Industry,TRUE,National Institute of Allergy and Infectious Diseases (NIAID),SPONSOR,NIH,N/A,BioNTech SE,$136.75 
2021,comirnaty,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT04969263,https://clinicaltrials.gov/study/NCT04969263,Interventional,Phase 2,Completed,PREVENTION,PREVENTION,Kidney Transplant Recipients,COVID-19,Infectious,N/A,8/10/21,11/10/22,15.2,81,ACTUAL,10,7,'1a.1. US Population'!$G$10,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,67.69%,"168,658,393",0.773329128,"227,544,916",National Institute of Allergy and Infectious Diseases (NIAID),NIH,non-industry,Non-Industry,TRUE,National Institute of Allergy and Infectious Diseases (NIAID),SPONSOR,NIH,"""PPD DEVELOPMENT, LP""",BioNTech SE,$136.75 
2021,comirnaty,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05000216,https://clinicaltrials.gov/study/NCT05000216,Interventional,Phase 2,Completed,PREVENTION,PREVENTION,"Rheumatoid Arthritis (RA), Systemic Lupus Erythematosus (SLE), Pemphigus Vulgaris, Multiple Sclerosis (MS), Systemic Sclerosis (SSc), Pediatric SLE, Juvenile Idiopathic Arthritis (JIA), Juvenile Dermatomyositis (JDM), Pediatric-Onset Multiple Sclerosis (POMS)",COVID-19,Infectious,N/A,8/13/21,6/22/23,22.6,257,ACTUAL,10,8,'1a.1. US Population'!$H$10,ALL,"CHILD, ADULT, OLDER_ADULT",COVID-19,"322,184,940",1.38%,"4,443,405",Common,41.95%,"135,156,583",1,"294,240,716",National Institute of Allergy and Infectious Diseases (NIAID),NIH,non-industry,Non-Industry,TRUE,National Institute of Allergy and Infectious Diseases (NIAID),SPONSOR,NIH,"""Autoimmunity Centers of Excellence"", ""Rho Federal Systems Division, Inc.""",BioNTech SE,$136.75 
2022,comirnaty,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05289037,https://clinicaltrials.gov/study/NCT05289037,Interventional,Phase 2,Completed,PREVENTION,PREVENTION,COVID-19,COVID-19,Infectious,N/A,3/30/22,11/22/23,20.1,1270,ACTUAL,9,7,'1a.1. US Population'!$G$9,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,83.65%,"208,415,212",0.773329128,"76,235,826",National Institute of Allergy and Infectious Diseases (NIAID),NIH,non-industry,Non-Industry,TRUE,National Institute of Allergy and Infectious Diseases (NIAID),SPONSOR,NIH,N/A,BioNTech SE,$136.75 
2021,comirnaty,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05020145,https://clinicaltrials.gov/study/NCT05020145,Observational,Observational,Completed,,PREVENTION,"Immunocompromised, Immunosuppressed, Covid-19, SARS-COV-2, SARS-COV-2 Infection, Breakthrough Infection",COVID-19,Infectious,N/A,8/25/21,12/17/21,3.8,1277747,ACTUAL,10,8,'1a.1. US Population'!$H$10,ALL,"CHILD, ADULT, OLDER_ADULT",COVID-19,"322,184,940",1.38%,"4,443,405",Common,41.95%,"135,156,583",1,"294,240,716",Pfizer,INDUSTRY,"88,000",Big Pharma,TRUE,Pfizer,SPONSOR,INDUSTRY,N/A,BioNTech SE,$136.75 
2023,comirnaty,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05765578,https://clinicaltrials.gov/study/NCT05765578,Observational,Observational,Completed,,PREVENTION,COVID-19,COVID-19,Infectious,N/A,3/8/23,6/17/24,15.6,1713,ACTUAL,8,7,'1a.1. US Population'!$G$8,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,83.19%,"207,265,441",0.773329128,"4,820,761","ModernaTX, Inc.",INDUSTRY,"5,600",Small Pharma,TRUE,"ModernaTX, Inc.",SPONSOR,INDUSTRY,N/A,BioNTech SE,$136.75 
2023,comirnaty,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05858450,https://clinicaltrials.gov/study/NCT05858450,Observational,Observational,Completed,,PREVENTION,"Influenza, Human, COVID-19",COVID-19,Infectious,N/A,5/5/23,5/12/23,0.2,3442996,ACTUAL,8,7,'1a.1. US Population'!$G$8,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,83.19%,"207,265,441",0.773329128,"4,820,761",Pfizer,INDUSTRY,"88,000",Big Pharma,TRUE,Pfizer,SPONSOR,INDUSTRY,N/A,BioNTech SE,$136.75 
2023,comirnaty,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05876377,https://clinicaltrials.gov/study/NCT05876377,Observational,Observational,Recruiting,,PREVENTION,"SARS-CoV-2, COVID-19, Post-Acute COVID-19 Syndrome",COVID-19,Infectious,N/A,10/23/23,10/31/24,12.5,999,ESTIMATED,8,8,'1a.1. US Population'!$H$8,ALL,"CHILD, ADULT, OLDER_ADULT",COVID-19,"322,184,940",1.38%,"4,443,405",Common,46.36%,"149,359,569",1,"6,233,777",Pfizer,INDUSTRY,"88,000",Big Pharma,TRUE,Pfizer,SPONSOR,INDUSTRY,N/A,BioNTech SE,$136.75 
2021,comirnaty - biontech manufacturing gmbh,Comirnaty,0069-2432,messenger RNA,LNP,Untargeted,in-vivo,NCT04760132,https://clinicaltrials.gov/study/NCT04760132,Interventional,Phase 4,Completed,OTHER,PREVENTION,SARS-CoV Infection,COVID-19,Infectious,N/A,2/8/21,12/31/23,35.2,7600,ACTUAL,10,7,'1a.1. US Population'!$G$10,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,67.69%,"168,658,393",0.773329128,"227,544,916","Rigshospitalet, Denmark",OTHER,non-industry,Non-Industry,FALSE,"Jens D Lundgren, MD",SPONSOR_INVESTIGATOR,OTHER,"""Ministry of the Interior and Health, Denmark""",BioNTech SE,$136.75 
2021,comirnaty omicron xbb.1.5,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05075538,https://clinicaltrials.gov/study/NCT05075538,Interventional,Phase 4,Terminated,PREVENTION,PREVENTION,Cancer,COVID-19,Infectious,The population as defined by the inclusion/exclusion criteria and the study logistics were leading to a poor recruitment over the past years,12/1/21,1/8/24,25.6,152,ACTUAL,10,7,'1a.1. US Population'!$G$10,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,67.69%,"168,658,393",0.773329128,"227,544,916",Jules Bordet Institute,OTHER,non-industry,Non-Industry,FALSE,Jules Bordet Institute,SPONSOR,OTHER,"""Roche Pharma AG""",BioNTech SE,$136.75 
2021,comirnaty original/omicron ba.1,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05075538,https://clinicaltrials.gov/study/NCT05075538,Interventional,Phase 4,Terminated,PREVENTION,PREVENTION,Cancer,COVID-19,Infectious,The population as defined by the inclusion/exclusion criteria and the study logistics were leading to a poor recruitment over the past years,12/1/21,1/8/24,25.6,152,ACTUAL,10,7,'1a.1. US Population'!$G$10,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,67.69%,"168,658,393",0.773329128,"227,544,916",Jules Bordet Institute,OTHER,non-industry,Non-Industry,FALSE,Jules Bordet Institute,SPONSOR,OTHER,"""Roche Pharma AG""",BioNTech SE,$136.75 
2021,comirnaty original/omicron ba.4-5,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05075538,https://clinicaltrials.gov/study/NCT05075538,Interventional,Phase 4,Terminated,PREVENTION,PREVENTION,Cancer,COVID-19,Infectious,The population as defined by the inclusion/exclusion criteria and the study logistics were leading to a poor recruitment over the past years,12/1/21,1/8/24,25.6,152,ACTUAL,10,7,'1a.1. US Population'!$G$10,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,67.69%,"168,658,393",0.773329128,"227,544,916",Jules Bordet Institute,OTHER,non-industry,Non-Industry,FALSE,Jules Bordet Institute,SPONSOR,OTHER,"""Roche Pharma AG""",BioNTech SE,$136.75 
2021,comirnaty®,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT04792567,https://clinicaltrials.gov/study/NCT04792567,Interventional,Phase 4,Completed,TREATMENT,PREVENTION,Secondary Progressive Multiple Sclerosis,COVID-19,Infectious,N/A,4/19/21,9/6/21,4.7,41,ACTUAL,10,7,'1a.1. US Population'!$G$10,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,67.69%,"168,658,393",0.773329128,"227,544,916",Novartis,INDUSTRY,"76,057",Big Pharma,FALSE,Novartis Pharmaceuticals,SPONSOR,INDUSTRY,N/A,BioNTech SE,$136.75 
2024,comirnaty®,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT06672055,https://clinicaltrials.gov/study/NCT06672055,Interventional,Phase 2,Recruiting,TREATMENT,TREATMENT,"SARS-CoV2, COVID-19",COVID-19,Infectious,N/A,10/8/24,1/1/26,15,10000,ESTIMATED,7,7,'1a.1. US Population'!$G$7,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,100.00%,"6,503,362",0.773329128,"4,820,761",Vaxart,INDUSTRY,109,Small Pharma,FALSE,Vaxart,SPONSOR,INDUSTRY,N/A,BioNTech SE,$136.75 
2021,core-g28v2 60mer mrna vaccine,N/A,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05001373,https://clinicaltrials.gov/study/NCT05001373,Interventional,Phase 1,Active Not Recruiting,PREVENTION,PREVENTION,Hiv,HIV,Infectious,N/A,11/12/21,6/20/23,19.5,56,ESTIMATED,10,4,'1a.1. US Population'!$D$10,ALL,ADULT,HIV,"201,452,958",1.21%,"2,440,835",Common,67.69%,"136,367,853",0.62527118,0,International AIDS Vaccine Initiative,NETWORK,non-industry,Non-Industry,TRUE,International AIDS Vaccine Initiative,SPONSOR,NETWORK,"""ModernaTX, Inc."", ""George Washington University"", ""Fred Hutchinson Cancer Center"", ""Emory University"", ""UT Health San Antonio""","ModernaTX, Inc.",N/A
2021,CoV2 SAM,N/A,N/A,self-amplifying RNA,LNP,Untargeted,in-vivo,NCT04758962,https://clinicaltrials.gov/study/NCT04758962,Interventional,Phase 1,Completed,PREVENTION,PREVENTION,COVID-19,COVID-19,Infectious,N/A,2/15/21,6/4/21,3.6,40,ACTUAL,10,4,'1a.1. US Population'!$D$10,ALL,ADULT,COVID-19,"201,452,958",2.61%,"5,258,259",Common,67.69%,"136,367,853",0.62527118,0,GlaxoSmithKline,INDUSTRY,"3,211",Small Pharma,TRUE,GlaxoSmithKline,SPONSOR,INDUSTRY,N/A,GlaxoSmithKline,N/A
2021,covid 19 booster dose,Spikevax,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05028374,https://clinicaltrials.gov/study/NCT05028374,Interventional,Phase 2,Completed,TREATMENT,TREATMENT,"Multiple Myeloma, AL Amyloidosis, Chronic Lymphocytic Leukemia",COVID-19,Infectious,N/A,8/17/21,11/2/21,2.6,119,ACTUAL,10,7,'1a.1. US Population'!$G$10,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,100.00%,"6,503,362",0.773329128,"149,371,035",Barbara Ann Karmanos Cancer Institute,OTHER,non-industry,Non-Industry,FALSE,Barbara Ann Karmanos Cancer Institute,PRINCIPAL_INVESTIGATOR,OTHER,N/A,"ModernaTX, Inc.",$141.80 
2021,covid-19 mrna vaccine moderna (1 dose),Spikevax,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05047718,https://clinicaltrials.gov/study/NCT05047718,Interventional,Phase 4,Completed,PREVENTION,PREVENTION,Covid19,COVID-19,Infectious,N/A,10/5/21,8/29/22,10.9,54,ACTUAL,10,7,'1a.1. US Population'!$G$10,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,67.69%,"168,658,393",0.773329128,"149,371,035",Centre Hospitalier Universitaire de Saint Etienne,OTHER,non-industry,Non-Industry,FALSE,Centre Hospitalier Universitaire de Saint Etienne,SPONSOR,OTHER,"""Sanofi Pasteur, a Sanofi Company"", ""Bioster, a.s.""","ModernaTX, Inc.",$141.80 
2021,covid-19 mrna vaccine moderna (2 doses),Spikevax,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05047718,https://clinicaltrials.gov/study/NCT05047718,Interventional,Phase 4,Completed,PREVENTION,PREVENTION,Covid19,COVID-19,Infectious,N/A,10/5/21,8/29/22,10.9,54,ACTUAL,10,7,'1a.1. US Population'!$G$10,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,67.69%,"168,658,393",0.773329128,"149,371,035",Centre Hospitalier Universitaire de Saint Etienne,OTHER,non-industry,Non-Industry,FALSE,Centre Hospitalier Universitaire de Saint Etienne,SPONSOR,OTHER,"""Sanofi Pasteur, a Sanofi Company"", ""Bioster, a.s.""","ModernaTX, Inc.",$141.80 
2021,covid-19 vaccine moderna dispersion for injection - moderna biotech,Spikevax,80777-110,messenger RNA,LNP,Untargeted,in-vivo,NCT04760132,https://clinicaltrials.gov/study/NCT04760132,Interventional,Phase 4,Completed,OTHER,PREVENTION,SARS-CoV Infection,COVID-19,Infectious,N/A,2/8/21,12/31/23,35.2,7600,ACTUAL,10,7,'1a.1. US Population'!$G$10,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,67.69%,"168,658,393",0.773329128,"149,371,035","Rigshospitalet, Denmark",OTHER,non-industry,Non-Industry,FALSE,"Jens D Lundgren, MD",SPONSOR_INVESTIGATOR,OTHER,"""Ministry of the Interior and Health, Denmark""","ModernaTX, Inc.",$141.80 
2021,covid-19 vaccine pfizer (1 dose),Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05047718,https://clinicaltrials.gov/study/NCT05047718,Interventional,Phase 4,Completed,PREVENTION,PREVENTION,Covid19,COVID-19,Infectious,N/A,10/5/21,8/29/22,10.9,54,ACTUAL,10,7,'1a.1. US Population'!$G$10,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,67.69%,"168,658,393",0.773329128,"227,544,916",Centre Hospitalier Universitaire de Saint Etienne,OTHER,non-industry,Non-Industry,FALSE,Centre Hospitalier Universitaire de Saint Etienne,SPONSOR,OTHER,"""Sanofi Pasteur, a Sanofi Company"", ""Bioster, a.s.""",BioNTech SE,$136.75 
2021,covid-19 vaccine pfizer (2 doses),Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05047718,https://clinicaltrials.gov/study/NCT05047718,Interventional,Phase 4,Completed,PREVENTION,PREVENTION,Covid19,COVID-19,Infectious,N/A,10/5/21,8/29/22,10.9,54,ACTUAL,10,7,'1a.1. US Population'!$G$10,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,67.69%,"168,658,393",0.773329128,"227,544,916",Centre Hospitalier Universitaire de Saint Etienne,OTHER,non-industry,Non-Industry,FALSE,Centre Hospitalier Universitaire de Saint Etienne,SPONSOR,OTHER,"""Sanofi Pasteur, a Sanofi Company"", ""Bioster, a.s.""",BioNTech SE,$136.75 
2014,"CT7, MAGE-A3, and WT1 mRNA-electroporated Langerhans cells",N/A,N/A,messenger RNA,Other,Active,ex-vivo,NCT01995708,https://clinicaltrials.gov/study/NCT01995708,Interventional,Phase 1,Completed,TREATMENT,TREATMENT,Multiple Myeloma,Myeloma,Cancer,N/A,1/31/14,6/20/22,102.1,28,ACTUAL,17,8,'1a.1. US Population'!$H$17,ALL,"CHILD, ADULT, OLDER_ADULT",Myeloma,"318,456,985",0.00%,326,Ultra-Rare,100.00%,326,1,0,Memorial Sloan Kettering Cancer Center,OTHER,non-industry,Non-Industry,TRUE,Memorial Sloan Kettering Cancer Center,SPONSOR,OTHER,N/A,Memorial Sloan Kettering Cancer Center,N/A
2023,dcvc h1 ha mrna vaccine,N/A,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05945485,https://clinicaltrials.gov/study/NCT05945485,Interventional,Phase 1,Recruiting,PREVENTION,PREVENTION,Influenza,Influenza,Infectious,N/A,10/16/23,5/19/25,19.4,50,ESTIMATED,8,4,'1a.1. US Population'!$D$8,ALL,ADULT,Influenza,"201,452,958",5.68%,"11,443,436",Common,37.00%,"74,537,594",0.62527118,0,National Institute of Allergy and Infectious Diseases (NIAID),NIH,non-industry,Non-Industry,TRUE,National Institute of Allergy and Infectious Diseases (NIAID),SPONSOR,NIH,N/A,Duke Civics Vaccine Center,N/A
2021,eod-gt8 60mer mrna vaccine,N/A,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05001373,https://clinicaltrials.gov/study/NCT05001373,Interventional,Phase 1,Active Not Recruiting,PREVENTION,PREVENTION,Hiv,HIV,Infectious,N/A,11/12/21,6/20/23,19.5,56,ESTIMATED,10,4,'1a.1. US Population'!$D$10,ALL,ADULT,HIV,"201,452,958",1.21%,"2,440,835",Common,67.69%,"136,367,853",0.62527118,0,International AIDS Vaccine Initiative,NETWORK,non-industry,Non-Industry,TRUE,International AIDS Vaccine Initiative,SPONSOR,NETWORK,"""ModernaTX, Inc."", ""George Washington University"", ""Fred Hutchinson Cancer Center"", ""Emory University"", ""UT Health San Antonio""","ModernaTX, Inc.",N/A
2024,flu pandemic mrna_dose level 1,N/A,N/A,messenger RNA,unclear,Untargeted,in-vivo,NCT06382311,https://clinicaltrials.gov/study/NCT06382311,Interventional,Phase 2,Recruiting,PREVENTION,PREVENTION,"Influenza, Human",Influenza,Infectious,N/A,4/18/24,8/21/24,4.2,1080,ESTIMATED,7,7,'1a.1. US Population'!$G$7,ALL,"ADULT, OLDER_ADULT",Influenza,"249,154,999",5.68%,"14,153,126",Common,37.00%,"92,187,350",0.773329128,0,GlaxoSmithKline,INDUSTRY,"3,211",Small Pharma,TRUE,GlaxoSmithKline,SPONSOR,INDUSTRY,N/A,GlaxoSmithKline,N/A
2024,flu pandemic mrna_dose level 2,N/A,N/A,messenger RNA,unclear,Untargeted,in-vivo,NCT06382311,https://clinicaltrials.gov/study/NCT06382311,Interventional,Phase 2,Recruiting,PREVENTION,PREVENTION,"Influenza, Human",Influenza,Infectious,N/A,4/18/24,8/21/24,4.2,1080,ESTIMATED,7,7,'1a.1. US Population'!$G$7,ALL,"ADULT, OLDER_ADULT",Influenza,"249,154,999",5.68%,"14,153,126",Common,37.00%,"92,187,350",0.773329128,0,GlaxoSmithKline,INDUSTRY,"3,211",Small Pharma,TRUE,GlaxoSmithKline,SPONSOR,INDUSTRY,N/A,GlaxoSmithKline,N/A
2024,flu pandemic mrna_dose level 3,N/A,N/A,messenger RNA,unclear,Untargeted,in-vivo,NCT06382311,https://clinicaltrials.gov/study/NCT06382311,Interventional,Phase 2,Recruiting,PREVENTION,PREVENTION,"Influenza, Human",Influenza,Infectious,N/A,4/18/24,8/21/24,4.2,1080,ESTIMATED,7,7,'1a.1. US Population'!$G$7,ALL,"ADULT, OLDER_ADULT",Influenza,"249,154,999",5.68%,"14,153,126",Common,37.00%,"92,187,350",0.773329128,0,GlaxoSmithKline,INDUSTRY,"3,211",Small Pharma,TRUE,GlaxoSmithKline,SPONSOR,INDUSTRY,N/A,GlaxoSmithKline,N/A
2024,flu pandemic mrna_dose level 4,N/A,N/A,messenger RNA,unclear,Untargeted,in-vivo,NCT06382311,https://clinicaltrials.gov/study/NCT06382311,Interventional,Phase 2,Recruiting,PREVENTION,PREVENTION,"Influenza, Human",Influenza,Infectious,N/A,4/18/24,8/21/24,4.2,1080,ESTIMATED,7,7,'1a.1. US Population'!$G$7,ALL,"ADULT, OLDER_ADULT",Influenza,"249,154,999",5.68%,"14,153,126",Common,37.00%,"92,187,350",0.773329128,0,GlaxoSmithKline,INDUSTRY,"3,211",Small Pharma,TRUE,GlaxoSmithKline,SPONSOR,INDUSTRY,N/A,GlaxoSmithKline,N/A
2024,flu pandemic mrna_dose level 5,N/A,N/A,messenger RNA,unclear,Untargeted,in-vivo,NCT06382311,https://clinicaltrials.gov/study/NCT06382311,Interventional,Phase 2,Recruiting,PREVENTION,PREVENTION,"Influenza, Human",Influenza,Infectious,N/A,4/18/24,8/21/24,4.2,1080,ESTIMATED,7,7,'1a.1. US Population'!$G$7,ALL,"ADULT, OLDER_ADULT",Influenza,"249,154,999",5.68%,"14,153,126",Common,37.00%,"92,187,350",0.773329128,0,GlaxoSmithKline,INDUSTRY,"3,211",Small Pharma,TRUE,GlaxoSmithKline,SPONSOR,INDUSTRY,N/A,GlaxoSmithKline,N/A
2024,flu pandemic mrna_dose level 6,N/A,N/A,messenger RNA,unclear,Untargeted,in-vivo,NCT06382311,https://clinicaltrials.gov/study/NCT06382311,Interventional,Phase 2,Recruiting,PREVENTION,PREVENTION,"Influenza, Human",Influenza,Infectious,N/A,4/18/24,8/21/24,4.2,1080,ESTIMATED,7,7,'1a.1. US Population'!$G$7,ALL,"ADULT, OLDER_ADULT",Influenza,"249,154,999",5.68%,"14,153,126",Common,37.00%,"92,187,350",0.773329128,0,GlaxoSmithKline,INDUSTRY,"3,211",Small Pharma,TRUE,GlaxoSmithKline,SPONSOR,INDUSTRY,N/A,GlaxoSmithKline,N/A
2024,flu pandemic mrna_dose level 7,N/A,N/A,messenger RNA,unclear,Untargeted,in-vivo,NCT06382311,https://clinicaltrials.gov/study/NCT06382311,Interventional,Phase 2,Recruiting,PREVENTION,PREVENTION,"Influenza, Human",Influenza,Infectious,N/A,4/18/24,8/21/24,4.2,1080,ESTIMATED,7,7,'1a.1. US Population'!$G$7,ALL,"ADULT, OLDER_ADULT",Influenza,"249,154,999",5.68%,"14,153,126",Common,37.00%,"92,187,350",0.773329128,0,GlaxoSmithKline,INDUSTRY,"3,211",Small Pharma,TRUE,GlaxoSmithKline,SPONSOR,INDUSTRY,N/A,GlaxoSmithKline,N/A
